identifier,section,parameter,value
K.k_adressenberlin@senstadt,Adressen Berlin,Kurzbeschreibung,"Die Adresspunkte stellen die amtlichen Berliner Adressen inklusive Koordinaten gemäß den Nummerierungsplänen der Vermessungsämter dar. Sie dienen zur Generierung / Validierung vornehmlich statistischer Raumeinheiten. Ein Adress-Datensatz enthält in dieser Veröffentlichung neben den Geometrieinformationen (amtliche Koordinaten) eine Auswahl von Sachattributen, welche in der Regel Referenzen auf andere Raumbezüge in Form von Schlüsselwerten enthalten.

Hinweis: Die Adress-Suche im FIS-Broker wird monatlich mit den RBS-Adressen aktualisiert. Abweichungen in der Lage als auch im Datenbestand selbst sind möglich."
K.k_adressenberlin@senstadt,Adressen Berlin,Koordinatensysteme,"EPSG:25833, EPSG:4258"
K.k_adressenberlin@senstadt,Adressen Berlin,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_adressenberlin@senstadt,Adressen Berlin,Ausdehnung,"EPSG:4258: 13,08, 52,33, 13,77, 52,69"
K.k_adressenberlin@senstadt,Adressen Berlin,Ebenen,Adressen
K.k_adressenberlin@senstadt,Adressen Berlin,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2)  der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_adressenberlin@senstadt,Adressen Berlin,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_adressenberlin@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wms/senstadt/k_adressenberlin
K.k_adressenberlin@senstadt,Technische Angaben,Standard,WMS
K.k_adressenberlin@senstadt,Technische Angaben,Version,1.0.0
K.k_adressenberlin@senstadt,Technische Angaben,Version,1.1.0
K.k_adressenberlin@senstadt,Technische Angaben,Version,1.1.1
K.k_adressenberlin@senstadt,Technische Angaben,Version,1.3.0
K.k_adressenberlin@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_adressenberlin@senstadt,Technische Angaben,Operationen,GetMap
K.k_adressenberlin@senstadt,Technische Angaben,Grafikformate,image/jpeg
K.k_adressenberlin@senstadt,Technische Angaben,Grafikformate,image/png
K.AD_AdressenBerlin_K@senstadt,Adressen im INSPIRE-Datenmodell,Kurzbeschreibung,"Die Adresspunkte stellen die Berliner Adressen dar und sind durch Attribute des INSPIRE-Datenmodells ""Adressen"" beschrieben."
K.AD_AdressenBerlin_K@senstadt,Adressen im INSPIRE-Datenmodell,Koordinatensysteme,"EPSG:25833, EPSG:4258"
K.AD_AdressenBerlin_K@senstadt,Adressen im INSPIRE-Datenmodell,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.AD_AdressenBerlin_K@senstadt,Adressen im INSPIRE-Datenmodell,Ausdehnung,"EPSG:4258: 13,08, 52,33, 13,77, 52,69"
K.AD_AdressenBerlin_K@senstadt,Adressen im INSPIRE-Datenmodell,Ebenen,Adressen
K.AD_AdressenBerlin_K@senstadt,Adressen im INSPIRE-Datenmodell,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2)  der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.AD_AdressenBerlin_K@senstadt,Adressen im INSPIRE-Datenmodell,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.AD_AdressenBerlin_K@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wms/senstadt/AD_AdressenBerlin_K
K.AD_AdressenBerlin_K@senstadt,Technische Angaben,Standard,WMS
K.AD_AdressenBerlin_K@senstadt,Technische Angaben,Version,1.0.0
K.AD_AdressenBerlin_K@senstadt,Technische Angaben,Version,1.1.0
K.AD_AdressenBerlin_K@senstadt,Technische Angaben,Version,1.1.1
K.AD_AdressenBerlin_K@senstadt,Technische Angaben,Version,1.3.0
K.AD_AdressenBerlin_K@senstadt,Technische Angaben,Operationen,GetCapabilities
K.AD_AdressenBerlin_K@senstadt,Technische Angaben,Operationen,GetMap
K.AD_AdressenBerlin_K@senstadt,Technische Angaben,Grafikformate,image/jpeg
K.AD_AdressenBerlin_K@senstadt,Technische Angaben,Grafikformate,image/png
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Kurzbeschreibung,"Der Datenbestand enthält die Adresspunkte für Berlin aus dem Regionalen Bezugssystem (RBS) des Amtes für Statistik Berlin-Brandenburg. Grundlage der Adressen im RBS sind die Nummerierungspläne der Vermessungsstellen. Neben den eigentlichen Adressinformationen und den Geometrien enthält der Datenbestand weitere Informationen zur Adresse in Form von Attributen. Zusätzlich beinhaltet der Datenbestand Objekte, die sich im Attribut Straßentyp unterscheiden (z. B. Gewässer, Forstamt, Flughafen, Kleingartenanlage). Es handelt sich hierbei nicht um Adressen."
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Koordinatensysteme,EPSG:25833
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Ebenen,Adressen RBS
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_rbs_adr@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wms/senstadt/k_rbs_adr
K.k_rbs_adr@senstadt,Technische Angaben,Standard,WMS
K.k_rbs_adr@senstadt,Technische Angaben,Version,1.0.0
K.k_rbs_adr@senstadt,Technische Angaben,Version,1.1.0
K.k_rbs_adr@senstadt,Technische Angaben,Version,1.1.1
K.k_rbs_adr@senstadt,Technische Angaben,Version,1.3.0
K.k_rbs_adr@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_rbs_adr@senstadt,Technische Angaben,Operationen,GetMap
K.k_rbs_adr@senstadt,Technische Angaben,Grafikformate,image/jpeg
K.k_rbs_adr@senstadt,Technische Angaben,Grafikformate,image/png
K.wmsk_afis@senstadt,AFIS Berlin,Kurzbeschreibung,Darstellung der Daten des amtlichen Festpunkinformationssystems
K.wmsk_afis@senstadt,AFIS Berlin,Koordinatensysteme,EPSG:25833
K.wmsk_afis@senstadt,AFIS Berlin,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.wmsk_afis@senstadt,AFIS Berlin,Ebenen,Höhenfestpunkte 1. Ordnung
K.wmsk_afis@senstadt,AFIS Berlin,Ebenen,Höhenfestpunkte 2. Ordnung
K.wmsk_afis@senstadt,AFIS Berlin,Ebenen,Höhenfestpunkte 3. Ordnung
K.wmsk_afis@senstadt,AFIS Berlin,Ebenen,Geodätische Grundnetzpunkte 1. Genauigkeitsstufe
K.wmsk_afis@senstadt,AFIS Berlin,Ebenen,Geodätische Grundnetzpunkte 2. Genauigkeitsstufe
K.wmsk_afis@senstadt,AFIS Berlin,Ebenen,Geodätische Grundnetzpunkte 3. Genauigkeitsstufe
K.wmsk_afis@senstadt,AFIS Berlin,Ebenen,Schwerefestpunkte 1. Ordnung
K.wmsk_afis@senstadt,AFIS Berlin,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2)  der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]"". Es sind die datenschutzrechtlichen Bestimmungen, insbesondere das Bundesdatenschutzgesetz, zu beachten."
K.wmsk_afis@senstadt,AFIS Berlin,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.wmsk_afis@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wms/senstadt/wmsk_afis
K.wmsk_afis@senstadt,Technische Angaben,Standard,WMS
K.wmsk_afis@senstadt,Technische Angaben,Version,1.0.0
K.wmsk_afis@senstadt,Technische Angaben,Version,1.1.0
K.wmsk_afis@senstadt,Technische Angaben,Version,1.1.1
K.wmsk_afis@senstadt,Technische Angaben,Version,1.3.0
K.wmsk_afis@senstadt,Technische Angaben,Operationen,GetCapabilities
K.wmsk_afis@senstadt,Technische Angaben,Operationen,GetMap
K.wmsk_afis@senstadt,Technische Angaben,Grafikformate,image/jpeg
K.wmsk_afis@senstadt,Technische Angaben,Grafikformate,image/png
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Kurzbeschreibung,In ALKIS Berlin werden die aktuellen Grundrissdaten des Liegenschaftskatasters flächendeckend geführt.
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Koordinatensysteme,"EPSG:25833, EPSG:3068, EPSG:4258, EPSG:25832"
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ausdehnung,"EPSG:3068: 2750,01, 250,01, 49780,01, 40100,01"
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ausdehnung,"EPSG:4258: 13,08, 52,33, 13,77, 52,69"
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ausdehnung,"EPSG:25832: 777914,96, 5805397,1, 822326,52, 5848208,6"
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Lagebezeichnung
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Tatsächliche Flächennutzung
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Gewässer Vegetation Linien
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Relief
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Straßennamen
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Tatsächliche Flächennutzung - Navigation
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Erläuterungen zu tatsächlichen Flächennutzungen
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Bauwerke
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Gebäude
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Flurstücke
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Gebäude - Navigation
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Rechtliche Festlegungen
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Gewässer- und Vegetationsflächen
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Erläuterungen zu Bauwerken
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Flurstücksnummer
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Erläuterungen zu Gebäuden
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Erläuterungen zu untergeordneten Gewässern und Vegetation
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Vegetation - Punkte
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Ortsteile
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Besondere Flurstücksgrenzen
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Land
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Gemeinde
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Gemarkung
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Flur
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
