identifier,section,parameter,value
K.k_adressenberlin@senstadt,Adressen Berlin,Kurzbeschreibung,"Die Adresspunkte stellen die amtlichen Berliner Adressen inklusive Koordinaten gemäß den Nummerierungsplänen der Vermessungsämter dar. Sie dienen zur Generierung / Validierung vornehmlich statistischer Raumeinheiten. Ein Adress-Datensatz enthält in dieser Veröffentlichung neben den Geometrieinformationen (amtliche Koordinaten) eine Auswahl von Sachattributen, welche in der Regel Referenzen auf andere Raumbezüge in Form von Schlüsselwerten enthalten.

Hinweis: Die Adress-Suche im FIS-Broker wird monatlich mit den RBS-Adressen aktualisiert. Abweichungen in der Lage als auch im Datenbestand selbst sind möglich."
K.k_adressenberlin@senstadt,Adressen Berlin,Koordinatensysteme,"EPSG:25833, EPSG:4258"
K.k_adressenberlin@senstadt,Adressen Berlin,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_adressenberlin@senstadt,Adressen Berlin,Ausdehnung,"EPSG:4258: 13,08, 52,33, 13,77, 52,69"
K.k_adressenberlin@senstadt,Adressen Berlin,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2)  der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_adressenberlin@senstadt,Adressen Berlin,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_adressenberlin@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wfs/data/senstadt/s_wfs_adressenberlin
K.k_adressenberlin@senstadt,Technische Angaben,Standard,WFS
K.k_adressenberlin@senstadt,Technische Angaben,Version,1.0.0
K.k_adressenberlin@senstadt,Technische Angaben,Version,1.1.0
K.k_adressenberlin@senstadt,Technische Angaben,Version,2.0.0
K.k_adressenberlin@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_adressenberlin@senstadt,Technische Angaben,Operationen,DescribeFeatureType
K.k_adressenberlin@senstadt,Technische Angaben,Operationen,GetFeature
K.k_adressenberlin@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/2.1.2
K.k_adressenberlin@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.1.1
K.k_adressenberlin@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.2.1
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Kurzbeschreibung,"Der Datenbestand enthält die Adresspunkte für Berlin aus dem Regionalen Bezugssystem (RBS) des Amtes für Statistik Berlin-Brandenburg. Grundlage der Adressen im RBS sind die Nummerierungspläne der Vermessungsstellen. Neben den eigentlichen Adressinformationen und den Geometrien enthält der Datenbestand weitere Informationen zur Adresse in Form von Attributen. Zusätzlich beinhaltet der Datenbestand Objekte, die sich im Attribut Straßentyp unterscheiden (z. B. Gewässer, Forstamt, Flughafen, Kleingartenanlage). Es handelt sich hierbei nicht um Adressen."
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Koordinatensysteme,EPSG:25833
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_rbs_adr@senstadt,Adressen Regionales Bezugssystem (RBS),Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_rbs_adr@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wfs/data/senstadt/s_rbs_adr
K.k_rbs_adr@senstadt,Technische Angaben,Standard,WFS
K.k_rbs_adr@senstadt,Technische Angaben,Version,1.0.0
K.k_rbs_adr@senstadt,Technische Angaben,Version,1.1.0
K.k_rbs_adr@senstadt,Technische Angaben,Version,2.0.0
K.k_rbs_adr@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_rbs_adr@senstadt,Technische Angaben,Operationen,DescribeFeatureType
K.k_rbs_adr@senstadt,Technische Angaben,Operationen,GetFeature
K.k_rbs_adr@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/2.1.2
K.k_rbs_adr@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.1.1
K.k_rbs_adr@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.2.1
K.k_alkis_bezirke@senstadt,ALKIS Berlin Gemeinde,Kurzbeschreibung,Bezirke von Berlin
K.k_alkis_bezirke@senstadt,ALKIS Berlin Gemeinde,Koordinatensysteme,"EPSG:25833, EPSG:4258"
K.k_alkis_bezirke@senstadt,ALKIS Berlin Gemeinde,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_alkis_bezirke@senstadt,ALKIS Berlin Gemeinde,Ausdehnung,"EPSG:4258: 13,08, 52,33, 13,77, 52,69"
K.k_alkis_bezirke@senstadt,ALKIS Berlin Gemeinde,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_alkis_bezirke@senstadt,ALKIS Berlin Gemeinde,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_alkis_bezirke@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wfs/data/senstadt/s_wfs_alkis_bezirk
K.k_alkis_bezirke@senstadt,Technische Angaben,Standard,WFS
K.k_alkis_bezirke@senstadt,Technische Angaben,Version,1.0.0
K.k_alkis_bezirke@senstadt,Technische Angaben,Version,1.1.0
K.k_alkis_bezirke@senstadt,Technische Angaben,Version,2.0.0
K.k_alkis_bezirke@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_alkis_bezirke@senstadt,Technische Angaben,Operationen,DescribeFeatureType
K.k_alkis_bezirke@senstadt,Technische Angaben,Operationen,GetFeature
K.k_alkis_bezirke@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/2.1.2
K.k_alkis_bezirke@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.1.1
K.k_alkis_bezirke@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.2.1
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Kurzbeschreibung,Daten des amtlichen Liegenschaftskatsterinformationssystems (ALKIS) - Das Flurstück ist als geometrisch eindeutig begrenzter Teil der Erdoberfläche Buchungseinheit des Liegenschaftskatasters.
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Koordinatensysteme,"EPSG:25833, EPSG:4258"
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Ausdehnung,"EPSG:4258: 13,08, 52,33, 13,77, 52,69"
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wfs/data/senstadt/s_wfs_alkis
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Standard,WFS
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Version,1.0.0
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Version,1.1.0
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Version,2.0.0
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Operationen,DescribeFeatureType
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Operationen,GetFeature
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/2.1.2
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.1.1
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.2.1
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Kurzbeschreibung,Daten des amtlichen Liegenschaftskatsterinformationssystems (ALKIS) - Gebäude und Gebäudeteile
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Koordinatensysteme,"EPSG:25833, EPSG:4258"
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Ausdehnung,"EPSG:4258: 13,08, 52,33, 13,77, 52,69"
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_alkis_gebaeude@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wfs/data/senstadt/s_wfs_alkis_gebaeudeflaechen
K.k_alkis_gebaeude@senstadt,Technische Angaben,Standard,WFS
K.k_alkis_gebaeude@senstadt,Technische Angaben,Version,1.0.0
K.k_alkis_gebaeude@senstadt,Technische Angaben,Version,1.1.0
K.k_alkis_gebaeude@senstadt,Technische Angaben,Version,2.0.0
K.k_alkis_gebaeude@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_alkis_gebaeude@senstadt,Technische Angaben,Operationen,DescribeFeatureType
K.k_alkis_gebaeude@senstadt,Technische Angaben,Operationen,GetFeature
K.k_alkis_gebaeude@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/2.1.2
K.k_alkis_gebaeude@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.1.1
K.k_alkis_gebaeude@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.2.1
K.k_alkis_land@senstadt,ALKIS Berlin Land,Kurzbeschreibung,Landesgenze von Berlin
K.k_alkis_land@senstadt,ALKIS Berlin Land,Koordinatensysteme,"EPSG:25833, EPSG:4258"
K.k_alkis_land@senstadt,ALKIS Berlin Land,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_alkis_land@senstadt,ALKIS Berlin Land,Ausdehnung,"EPSG:4258: 13,08, 52,33, 13,77, 52,69"
K.k_alkis_land@senstadt,ALKIS Berlin Land,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_alkis_land@senstadt,ALKIS Berlin Land,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_alkis_land@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wfs/data/senstadt/s_wfs_alkis_land
K.k_alkis_land@senstadt,Technische Angaben,Standard,WFS
K.k_alkis_land@senstadt,Technische Angaben,Version,1.0.0
K.k_alkis_land@senstadt,Technische Angaben,Version,1.1.0
K.k_alkis_land@senstadt,Technische Angaben,Version,2.0.0
K.k_alkis_land@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_alkis_land@senstadt,Technische Angaben,Operationen,DescribeFeatureType
K.k_alkis_land@senstadt,Technische Angaben,Operationen,GetFeature
K.k_alkis_land@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/2.1.2
K.k_alkis_land@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.1.1
K.k_alkis_land@senstadt,Technische Angaben,Ausgabeformate,text/xml; subtype=gml/3.2.1
K.k_alkis_ortsteile@senstadt,ALKIS Berlin Ortsteil,Kurzbeschreibung,Daten des amtlichen Liegenschaftskatsterinformationssystems (ALKIS)- Ortsteile
K.k_alkis_ortsteile@senstadt,ALKIS Berlin Ortsteil,Koordinatensysteme,"EPSG:25833, EPSG:4258"
K.k_alkis_ortsteile@senstadt,ALKIS Berlin Ortsteil,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_alkis_ortsteile@senstadt,ALKIS Berlin Ortsteil,Ausdehnung,"EPSG:4258: 13,08, 52,33, 13,77, 52,69"
